time,elpsec,O2Hb_1,HHb_1,TOI_1,nTHI_1,O2Hb_2,HHb_2,TOI_2,nTHI_2,O2Hb_3,HHb_3,TOI_3,nTHI_3,O2Hb_4,HHb_4,TOI_4,nTHI_4,Comment
18:25,4634.83,4.73,-5.91,68,1.054,4.82,-4.27,64,0.987,7.16,-1.44,70.1,0.974,3.23,-0.48,81.8,1.229,
18:25,4635.03,4.93,-5.89,68.4,1.051,5.06,-4.22,64.6,0.999,7.16,-1.37,69.8,0.973,3.33,-0.44,81.8,1.232,
18:25,4635.23,5.04,-5.7,68.1,1.06,5.23,-4.15,64.8,0.995,7.31,-1.5,70.7,0.974,3.32,-0.46,81.8,1.227,
18:25,4635.43,5.02,-5.75,68.4,1.055,5.22,-4.12,64.9,0.995,7.08,-1.58,70.2,0.965,3.3,-0.48,81.9,1.226,
18:25,4635.63,5.04,-5.67,68.3,1.054,5.61,-4.02,64.9,1.001,6.54,-2.06,70.3,0.955,2.99,-0.68,81.9,1.211,
18:25,4635.83,5.09,-5.61,68.3,1.061,5.79,-3.96,64.7,1.006,5.95,-2.41,69.8,0.95,2.63,-0.89,81.8,1.196,
18:25,4636.03,4.98,-5.77,68.5,1.061,5.39,-4.18,65.2,0.993,6.12,-2.22,69.8,0.955,2.98,-0.7,81.9,1.206,
18:25,4636.23,4.77,-5.93,68.5,1.062,4.77,-4.22,64.1,0.994,6.31,-2.02,69.7,0.954,3.12,-0.6,81.9,1.214,
18:25,4636.43,4.75,-5.9,68.2,1.065,4.73,-4.49,65.3,0.985,6.6,-1.83,70,0.959,3.24,-0.52,81.8,1.218,
18:25,4636.63,4.86,-5.74,68,1.07,4.94,-4.29,64.9,0.987,6.63,-1.7,69.4,0.965,3.33,-0.46,81.7,1.213,
18:25,4636.83,6.3,-4.6,68.3,1.088,5.65,-3.61,64.2,1.017,6.49,-1.95,69.9,0.958,3.39,-0.44,81.7,1.2,
18:25,4637.03,7.76,-3.32,68,1.111,6.53,-3.11,65.1,1.039,6.35,-1.96,69.8,0.963,3.28,-0.52,81.7,1.177,
18:25,4637.23,9.94,-1.74,68.3,1.136,7.2,-2.66,66.3,1.049,7.09,-1.36,70,0.99,3.49,-0.38,81.5,1.163,
18:25,4637.43,10.45,-1.18,67.8,1.129,7.28,-2.29,66,1.055,7.48,-1.38,69.8,0.949,3.15,-0.78,81.4,1.129,
18:25,4637.63,10.4,-1.3,68.1,1.118,6.93,-2.62,65.9,1.041,6.99,-1.42,69.1,0.951,3.02,-0.91,81.5,1.109,
18:25,4637.83,10.2,-1.47,68,1.113,6.66,-2.56,65.1,1.041,7.03,-1.43,69.2,0.945,3.24,-0.81,81.6,1.11,
18:25,4638.03,9.53,-2.05,68.1,1.105,6.51,-2.81,66,1.042,7.15,-1.37,69.4,0.952,3.5,-0.65,81.6,1.119,
18:25,4638.23,8.58,-2.72,67.9,1.105,6.14,-3.01,66.4,1.031,7.37,-1.26,69.6,0.952,3.79,-0.48,81.5,1.122,
18:25,4638.43,8.35,-2.86,68,1.107,6,-2.97,65.9,1.019,7.24,-1.26,69.3,0.939,4.05,-0.29,81.6,1.134,
18:25,4638.63,7.18,-3.71,67.6,1.118,6.4,-2.55,65.4,1.021,7.74,-0.92,69,0.962,4.04,-0.26,81.5,1.144,
18:25,4638.83,6.1,-4.61,67.7,1.092,7.17,-2.42,65.8,0.99,8.14,-1.22,71.2,0.958,3.24,-0.69,81.4,1.147,EVNT12 
18:25,4639.03,6.41,-4.43,68.1,1.046,7.52,-2.19,64.1,0.973,7.5,-0.59,67.3,0.966,2.76,-0.84,81.3,1.176,
18:25,4639.23,6.83,-4.1,68,1.009,7.34,-2.62,64.6,0.952,8.01,-0.57,68.9,0.992,2.36,-1.02,81.4,1.204,
18:25,4639.43,6.59,-4.52,68.1,1.031,5.88,-3.7,65.1,0.965,6.35,-1.22,67.9,0.936,2.29,-1.16,81.5,1.2,
18:25,4639.63,7.31,-4.22,68.7,1.094,6.59,-3.64,66,1.009,6.42,-1.87,70.2,0.967,3.13,-0.79,81.7,1.174,
18:25,4639.83,8.55,-3.2,68.4,1.114,7.58,-3.09,66.1,1.022,6.2,-2.72,71.9,0.944,3.64,-0.6,81.9,1.151,
18:25,4640.03,10.66,-1.95,69.3,1.117,8.83,-2.22,66.1,1.045,6.19,-2.64,70.7,0.909,4.37,-0.2,82,1.145,
18:25,4640.23,11.76,-1.01,68.6,1.079,10.02,-1.37,66.1,1.065,6.76,-2,69.2,0.932,5.2,0.2,82.2,1.103,
18:25,4640.43,12.71,-0.32,68.7,1.059,10.04,-1.42,67.2,1.068,7.35,-2.06,70.5,0.941,4.66,-0.43,82.3,1.036,
18:25,4640.63,13.93,0.75,68.1,1.077,7.33,-2.57,67.1,1.026,5.53,-2.97,69.2,0.911,1.47,-2.67,82.1,0.99,
18:25,4640.83,13.34,0.43,68.1,1.068,6.39,-2.93,67.8,1.022,4.87,-3.43,68.6,0.949,1.85,-2.39,82,0.988,
18:25,4641.03,10.1,-2.38,68.5,1.032,6.03,-3.16,67.1,1.022,5.47,-3.39,69.8,0.93,2.43,-1.83,81.8,1.009,
18:25,4641.23,5.72,-5.74,67.9,1.02,6.21,-3.59,66.8,0.977,5.74,-2.63,69.6,0.923,2.63,-1.18,81.4,1.083,
18:25,4641.43,2.81,-8.2,67.2,0.955,5.78,-4.17,65.7,0.923,6.02,-2.36,70.1,0.895,2.16,-1.03,81.3,1.167,
18:25,4641.63,4.69,-7.06,68,1.005,5.05,-5.06,66.2,0.97,5.46,-2.55,69.7,0.917,2.66,-0.81,81.6,1.168,
18:25,4641.83,7.9,-4.98,69.1,1.05,7.11,-3.77,65.9,1.011,6.07,-2.63,70.4,0.924,3.32,-0.62,81.9,1.123,
18:25,4642.03,10.06,-4.1,69.6,1.044,8.27,-3.42,67.5,1.03,5.95,-2.63,69.3,0.925,3.08,-0.93,82,1.08,
18:25,4642.23,13.11,-1.76,69.2,1.049,7.48,-3.46,68.1,1.033,4.77,-3.24,68.3,0.917,0.24,-3.21,81.8,0.973,
18:25,4642.43,13.86,-0.96,69,1.052,6.65,-3.67,68.6,1.007,4.12,-4.08,69.2,0.938,1.21,-2.68,82,0.975,
18:25,4642.63,10.1,-4.33,69.2,1.018,6.45,-4.23,68,1.01,4.61,-3.62,68.9,0.937,1.92,-1.95,81.6,1.024,
18:25,4642.83,5.65,-7.43,68.3,1.028,5.38,-4.94,67.4,0.992,5.34,-2.57,69.1,0.938,2.71,-0.86,81.2,1.12,
18:25,4643.03,5.1,-8.13,69.2,1.006,5.08,-5.69,67.1,0.986,4.89,-3.04,69.8,0.924,3.23,-0.49,81.6,1.145,
18:25,4643.23,8.15,-5.93,69.5,1.033,7.63,-4.4,67.9,1.027,5.85,-2.73,70.4,0.93,3.54,-0.51,81.9,1.125,
18:25,4643.43,10.77,-4.78,70.4,1.05,8.98,-3.79,68.7,1.046,5.69,-3.02,70,0.916,2.98,-1.01,82,1.101,
18:25,4643.63,13.92,-2.52,69.9,1.054,8.4,-3.88,69.1,1.047,4.75,-3.3,68.2,0.908,0.44,-2.97,81.8,0.995,
18:25,4643.83,15.22,-1.38,70.1,1.06,7.54,-3.8,69.2,1.031,4.87,-3.95,70.6,0.964,1.45,-2.56,82.1,0.974,
18:25,4644.03,10.9,-4.94,70.1,1.025,7.32,-4.51,69.3,1.021,5.21,-3.52,69.6,0.931,2.29,-1.8,81.9,1.019,
