O2Hb_1,HHb_1,TOI_1,nTHI_1,O2Hb_2,HHb_2,TOI_2,nTHI_2,O2Hb_3,HHb_3,TOI_3,nTHI_3,O2Hb_4,HHb_4,TOI_4,nTHI_4,Comment
-11.99,-9.12,79.3,1.514,-2.55,-1.51,77.8,0.993,-4.04,-3.44,74.1,1.039,-7.05,-4.89,71.7,0.798,
-12.01,-9.13,79.3,1.514,-2.57,-1.51,77.8,0.991,-4.05,-3.44,74.1,1.039,-7.08,-4.89,71.7,0.798,
-12,-9.12,79.3,1.513,-2.57,-1.51,77.8,0.992,-4.06,-3.44,74,1.039,-7.09,-4.89,71.6,0.796,
-11.9,-9.1,79.3,1.516,-2.51,-1.5,77.8,0.993,-3.98,-3.43,74.1,1.041,-7.02,-4.88,71.7,0.797,
-11.9,-9.1,79.3,1.515,-2.52,-1.5,77.7,0.992,-3.98,-3.42,74.1,1.041,-7.04,-4.88,71.6,0.797,
-11.92,-9.09,79.3,1.517,-2.53,-1.5,77.7,0.992,-4,-3.42,74.1,1.041,-7.05,-4.89,71.7,0.796,
-11.86,-9.09,79.3,1.518,-2.49,-1.5,77.8,0.993,-3.95,-3.43,74.2,1.041,-7.01,-4.88,71.7,0.797,
-11.89,-9.1,79.3,1.519,-2.5,-1.5,77.7,0.992,-3.94,-3.43,74.1,1.042,-7.02,-4.89,71.6,0.796,
-11.94,-9.12,79.3,1.517,-2.53,-1.52,77.8,0.99,-3.97,-3.44,74.1,1.041,-7.06,-4.91,71.6,0.795,
-11.91,-9.12,79.3,1.517,-2.53,-1.52,77.7,0.99,-3.97,-3.44,74.2,1.041,-7.06,-4.9,71.5,0.795,
-11.85,-9.1,79.3,1.518,-2.49,-1.52,77.8,0.991,-3.93,-3.45,74.2,1.041,-7.03,-4.89,71.4,0.795,
-11.86,-9.1,79.3,1.518,-2.5,-1.52,77.8,0.991,-3.95,-3.45,74.1,1.041,-7.05,-4.91,71.4,0.793,
-11.84,-9.09,79.3,1.519,-2.51,-1.52,77.8,0.99,-3.95,-3.44,74.1,1.041,-7.05,-4.9,71.3,0.794,
-11.75,-9.07,79.4,1.519,-2.45,-1.51,77.8,0.992,-3.88,-3.44,74.2,1.043,-7,-4.91,71.4,0.793,
-11.77,-9.07,79.4,1.519,-2.47,-1.5,77.7,0.991,-3.91,-3.44,74.1,1.042,-7,-4.92,71.6,0.793,
-11.78,-9.07,79.4,1.52,-2.48,-1.51,77.8,0.99,-3.92,-3.44,74.1,1.042,-7.03,-4.92,71.5,0.792,
-11.74,-9.08,79.4,1.521,-2.44,-1.51,77.8,0.991,-3.85,-3.45,74.3,1.044,-6.97,-4.92,71.6,0.794,
-11.77,-9.08,79.3,1.521,-2.46,-1.51,77.8,0.99,-3.87,-3.44,74.2,1.043,-6.99,-4.94,71.5,0.792,
-11.81,-9.09,79.3,1.519,-2.49,-1.52,77.7,0.989,-3.89,-3.45,74.3,1.043,-7,-4.93,71.6,0.794,
-11.75,-9.08,79.4,1.519,-2.46,-1.52,77.8,0.99,-3.86,-3.45,74.2,1.044,-6.96,-4.93,71.6,0.796,
-11.73,-9.08,79.4,1.52,-2.45,-1.51,77.7,0.989,-3.83,-3.44,74.2,1.046,-6.92,-4.92,71.7,0.798,
-11.76,-9.07,79.4,1.521,-2.47,-1.52,77.7,0.989,-3.83,-3.45,74.3,1.046,-6.88,-4.94,72,0.801,
-11.83,-9.09,79.3,1.518,-2.51,-1.52,77.7,0.987,-3.88,-3.46,74.3,1.045,-6.9,-4.94,72.1,0.803,
-11.77,-9.08,79.4,1.519,-2.48,-1.52,77.7,0.988,-3.83,-3.46,74.4,1.046,-6.86,-4.96,72.3,0.803,
-11.79,-9.09,79.4,1.519,-2.48,-1.52,77.7,0.988,-3.82,-3.46,74.4,1.046,-6.87,-4.94,72.1,0.804,
-11.82,-9.1,79.4,1.519,-2.51,-1.53,77.7,0.987,-3.86,-3.47,74.4,1.045,-6.9,-4.95,72.1,0.803,
-11.84,-9.09,79.3,1.518,-2.53,-1.54,77.7,0.986,-3.88,-3.47,74.4,1.046,-6.92,-4.96,72.1,0.802,
-11.77,-9.08,79.4,1.519,-2.49,-1.53,77.7,0.987,-3.83,-3.46,74.4,1.047,-6.87,-4.95,72.2,0.804,
-11.81,-9.09,79.3,1.519,-2.51,-1.53,77.7,0.985,-3.85,-3.46,74.4,1.047,-6.89,-4.96,72.2,0.804,
-11.85,-9.09,79.3,1.518,-2.53,-1.54,77.7,0.986,-3.89,-3.47,74.4,1.046,-6.92,-4.97,72.2,0.802,
-11.81,-9.07,79.3,1.518,-2.52,-1.53,77.7,0.986,-3.87,-3.47,74.4,1.047,-6.9,-4.95,72.2,0.804,
-11.77,-9.07,79.3,1.52,-2.48,-1.52,77.7,0.988,-3.84,-3.46,74.4,1.048,-6.88,-4.95,72.1,0.804,
-11.8,-9.07,79.3,1.52,-2.5,-1.53,77.7,0.986,-3.86,-3.46,74.4,1.047,-6.9,-4.96,72.2,0.803,
-11.82,-9.07,79.3,1.519,-2.51,-1.53,77.7,0.985,-3.88,-3.47,74.4,1.047,-6.91,-4.95,72.1,0.804,
-11.74,-9.06,79.4,1.521,-2.47,-1.52,77.7,0.986,-3.82,-3.46,74.5,1.049,-6.86,-4.95,72.2,0.806,
-11.76,-9.07,79.4,1.522,-2.47,-1.52,77.7,0.986,-3.82,-3.46,74.5,1.049,-6.86,-4.95,72.2,0.806,
-11.81,-9.08,79.4,1.521,-2.49,-1.53,77.7,0.986,-3.85,-3.46,74.4,1.048,-6.89,-4.95,72.1,0.805,
-11.8,-9.09,79.4,1.521,-2.49,-1.53,77.7,0.985,-3.84,-3.47,74.5,1.049,-6.88,-4.96,72.2,0.806,
-11.8,-9.09,79.3,1.521,-2.47,-1.54,77.8,0.985,-3.82,-3.47,74.5,1.049,-6.87,-4.97,72.2,0.805,
-11.82,-9.1,79.4,1.521,-2.5,-1.54,77.7,0.984,-3.84,-3.47,74.5,1.049,-6.9,-4.97,72.2,0.805,
-11.81,-9.09,79.4,1.521,-2.5,-1.54,77.7,0.985,-3.85,-3.48,74.5,1.049,-6.9,-4.98,72.2,0.803,
-11.76,-9.09,79.4,1.522,-2.46,-1.53,77.7,0.985,-3.81,-3.47,74.5,1.05,-6.91,-4.96,72,0.802,
-11.79,-9.09,79.4,1.522,-2.47,-1.54,77.7,0.984,-3.83,-3.47,74.4,1.049,-6.93,-4.96,71.9,0.801,
-11.79,-9.09,79.4,1.522,-2.47,-1.54,77.7,0.985,-3.83,-3.47,74.5,1.049,-6.94,-4.97,71.9,0.801,
-11.74,-9.09,79.5,1.523,-2.44,-1.54,77.7,0.984,-3.79,-3.47,74.5,1.049,-6.89,-4.97,71.9,0.802,
-11.75,-9.09,79.4,1.523,-2.44,-1.53,77.7,0.985,-3.8,-3.47,74.5,1.05,-6.91,-4.97,72,0.801,
-11.75,-9.09,79.4,1.523,-2.44,-1.54,77.8,0.984,-3.8,-3.46,74.4,1.051,-6.92,-4.97,71.9,0.801,
-11.69,-9.09,79.5,1.526,-2.4,-1.53,77.8,0.985,-3.74,-3.46,74.4,1.052,-6.86,-4.97,72,0.803,
-11.7,-9.09,79.5,1.526,-2.41,-1.53,77.7,0.985,-3.75,-3.46,74.5,1.051,-6.88,-4.96,71.9,0.802,
-11.69,-9.09,79.5,1.526,-2.41,-1.53,77.7,0.984,-3.76,-3.46,74.4,1.051,-6.88,-4.97,72,0.802,
-11.66,-9.09,79.5,1.527,-2.36,-1.53,77.8,0.985,-3.69,-3.46,74.5,1.053,-6.82,-4.98,72.1,0.803,
-11.69,-9.1,79.5,1.527,-2.39,-1.54,77.7,0.984,-3.71,-3.47,74.5,1.052,-6.85,-4.97,71.9,0.803,
-11.73,-9.11,79.5,1.525,-2.41,-1.55,77.8,0.983,-3.73,-3.47,74.4,1.052,-6.89,-4.99,71.9,0.802,
-11.65,-9.1,79.5,1.527,-2.36,-1.54,77.7,0.984,-3.67,-3.47,74.5,1.053,-6.83,-4.98,72,0.803,
-11.64,-9.1,79.5,1.527,-2.36,-1.55,77.8,0.984,-3.68,-3.47,74.5,1.053,-6.84,-4.98,72,0.803,
-11.63,-9.09,79.5,1.527,-2.37,-1.54,77.8,0.983,-3.69,-3.46,74.5,1.054,-6.85,-4.98,72,0.802,
-11.56,-9.08,79.6,1.529,-2.32,-1.54,77.8,0.985,-3.63,-3.45,74.5,1.055,-6.78,-4.97,72.1,0.805,
-11.57,-9.08,79.5,1.528,-2.32,-1.53,77.8,0.984,-3.63,-3.45,74.5,1.055,-6.79,-4.97,72,0.805,
-11.57,-9.07,79.5,1.529,-2.33,-1.53,77.8,0.983,-3.65,-3.45,74.5,1.055,-6.82,-4.96,71.9,0.804,
-11.49,-9.06,79.5,1.531,-2.28,-1.53,77.8,0.984,-3.57,-3.44,74.5,1.057,-6.74,-4.96,72,0.806,
-11.49,-9.06,79.6,1.531,-2.28,-1.52,77.8,0.984,-3.57,-3.44,74.5,1.058,-6.75,-4.95,71.9,0.805,
-11.51,-9.06,79.6,1.531,-2.29,-1.52,77.8,0.984,-3.59,-3.43,74.5,1.058,-6.77,-4.97,72.1,0.805,
-11.44,-9.05,79.6,1.531,-2.25,-1.52,77.8,0.984,-3.54,-3.43,74.5,1.059,-6.73,-4.95,71.9,0.806,
-11.44,-9.05,79.6,1.532,-2.25,-1.51,77.8,0.984,-3.53,-3.43,74.6,1.059,-6.71,-4.95,72,0.807,
-11.45,-9.05,79.6,1.532,-2.27,-1.51,77.8,0.984,-3.55,-3.43,74.6,1.059,-6.74,-4.95,71.9,0.806,
-11.45,-9.05,79.6,1.533,-2.26,-1.52,77.8,0.984,-3.55,-3.42,74.5,1.061,-6.73,-4.95,72,0.807,
-11.46,-9.07,79.6,1.532,-2.26,-1.52,77.8,0.984,-3.51,-3.42,74.6,1.061,-6.71,-4.95,72,0.807,
-11.49,-9.07,79.6,1.531,-2.29,-1.53,77.8,0.983,-3.54,-3.42,74.6,1.061,-6.74,-4.97,72,0.805,
-11.51,-9.08,79.6,1.533,-2.3,-1.53,77.7,0.982,-3.56,-3.41,74.5,1.06,-6.75,-4.96,72,0.806,
-11.48,-9.07,79.6,1.534,-2.27,-1.53,77.8,0.983,-3.51,-3.41,74.5,1.062,-6.71,-4.97,72.1,0.806,
-11.49,-9.07,79.6,1.536,-2.29,-1.52,77.8,0.982,-3.53,-3.42,74.5,1.062,-6.73,-4.97,72.1,0.806,
-11.53,-9.08,79.6,1.536,-2.32,-1.52,77.7,0.981,-3.56,-3.42,74.5,1.062,-6.74,-4.97,72.1,0.806,
-11.49,-9.08,79.6,1.537,-2.29,-1.53,77.8,0.982,-3.54,-3.43,74.5,1.062,-6.72,-4.98,72.1,0.806,
-11.56,-9.11,79.6,1.537,-2.33,-1.54,77.7,0.98,-3.55,-3.43,74.5,1.062,-6.74,-4.98,72.1,0.805,
-11.63,-9.14,79.6,1.536,-2.37,-1.56,77.7,0.979,-3.6,-3.44,74.5,1.061,-6.79,-5.01,72.1,0.804,
-11.59,-9.11,79.6,1.539,-2.39,-1.57,77.7,0.978,-3.55,-3.44,74.6,1.062,-6.86,-5.08,72.1,0.799,
-11.27,-8.9,79.6,1.517,-2.39,-1.59,77.8,0.976,-3.59,-3.45,74.5,1.069,-7.13,-5.24,72,0.785,
-11.22,-8.88,79.6,1.506,-2.37,-1.58,77.7,0.985,-3.62,-3.47,74.5,1.077,-7.34,-5.39,72.1,0.776,
-11.2,-8.89,79.6,1.512,-2.35,-1.58,77.8,0.984,-3.52,-3.43,74.5,1.077,-7.22,-5.33,72.1,0.784,
-11.2,-8.87,79.6,1.527,-2.37,-1.59,77.8,0.978,-3.57,-3.43,74.4,1.072,-7.05,-5.19,72,0.796,
-11.18,-8.88,79.6,1.538,-2.3,-1.55,77.8,0.981,-3.53,-3.44,74.5,1.069,-6.94,-5.14,72.1,0.799,
-11.22,-8.93,79.6,1.541,-2.27,-1.54,77.8,0.982,-3.51,-3.44,74.5,1.069,-6.84,-5.11,72.2,0.8,
-11.27,-8.97,79.7,1.54,-2.27,-1.53,77.8,0.982,-3.54,-3.45,74.5,1.069,-6.83,-5.08,72,0.801,
-11.22,-8.96,79.7,1.539,-2.21,-1.52,77.8,0.985,-3.5,-3.45,74.5,1.07,-6.76,-5.07,72.1,0.802,
-11.23,-8.97,79.6,1.54,-2.22,-1.52,77.8,0.985,-3.5,-3.46,74.6,1.071,-6.78,-5.06,71.9,0.8,
-11.23,-8.96,79.6,1.543,-2.24,-1.52,77.7,0.983,-3.51,-3.44,74.5,1.073,-6.78,-5.07,72,0.798,
-11.18,-8.96,79.7,1.545,-2.2,-1.52,77.8,0.985,-3.46,-3.44,74.6,1.073,-6.73,-5.05,71.9,0.798,
-11.23,-8.98,79.6,1.546,-2.23,-1.52,77.7,0.983,-3.49,-3.44,74.5,1.072,-6.76,-5.05,71.8,0.796,
-11.28,-8.99,79.6,1.546,-2.25,-1.53,77.8,0.983,-3.55,-3.47,74.5,1.07,-6.79,-5.07,71.9,0.795,
-11.29,-9,79.6,1.546,-2.27,-1.54,77.7,0.982,-3.57,-3.49,74.5,1.069,-6.8,-5.05,71.8,0.796,
-11.27,-9,79.6,1.546,-2.24,-1.53,77.7,0.984,-3.53,-3.52,74.7,1.069,-6.75,-5.06,71.9,0.796,
-11.33,-9.02,79.6,1.546,-2.28,-1.55,77.7,0.982,-3.58,-3.53,74.6,1.066,-6.8,-5.05,71.7,0.795,
-11.36,-9.02,79.6,1.546,-2.31,-1.55,77.8,0.982,-3.63,-3.57,74.7,1.064,-6.8,-5.06,71.8,0.796,
-11.36,-9.02,79.6,1.546,-2.33,-1.55,77.7,0.98,-3.65,-3.58,74.7,1.062,-6.82,-5.06,71.7,0.795,
-11.33,-9.01,79.6,1.547,-2.31,-1.55,77.7,0.981,-3.64,-3.6,74.7,1.063,-6.79,-5.05,71.7,0.796,
-11.36,-9.01,79.6,1.546,-2.34,-1.56,77.7,0.98,-3.68,-3.62,74.8,1.06,-6.82,-5.05,71.7,0.794,
-11.41,-9.03,79.6,1.546,-2.38,-1.57,77.7,0.978,-3.72,-3.65,74.8,1.058,-6.84,-5.05,71.7,0.794,
-11.35,-9.01,79.6,1.547,-2.36,-1.57,77.7,0.978,-3.69,-3.66,74.9,1.057,-6.8,-5.04,71.7,0.795,
-11.37,-9.01,79.6,1.547,-2.38,-1.57,77.7,0.977,-3.72,-3.69,74.9,1.055,-6.81,-5.05,71.7,0.794,
-11.41,-9.01,79.6,1.547,-2.41,-1.58,77.6,0.974,-3.76,-3.71,75,1.052,-6.84,-5.04,71.6,0.794,
-11.36,-9.01,79.6,1.546,-2.41,-1.59,77.7,0.975,-3.75,-3.74,75,1.051,-6.81,-5.05,71.7,0.795,
-11.38,-9.02,79.6,1.548,-2.41,-1.59,77.7,0.975,-3.75,-3.76,75.1,1.05,-6.8,-5.04,71.7,0.795,
